TripCode	StartDate	PriceAdult	PriceChild
GCA	5/13/21	3080	2310
GCA	6/10/20	3080	2310
GCA	7/15/20	3080	2310
GCA	8/5/20	3112	2334
GCA	8/19/20	3112	2334
GCA	9/16/20	3080	2310
ITI	6/11/20	2320	0
ITI	6/25/20	2320	0
ITI	9/3/20	2320	0
ITI	9/17/20	2320	0
ITI	10/1/20	2320	0
ITI	5/28/21	2320	0
SFS	7/8/20	2715	2039
SFS	7/22/20	2880	2159
SFS	8/5/20	2880	2159
SFS	8/19/20	2880	2159
CRM	4/3/21	1920	1440
CRM	4/17/21	1920	1440
CRM	5/15/21	1920	1440
CRM	5/29/21	1920	1440
CRM	8/7/20	1920	1440
CRM	10/23/20	1920	1440
FWW	2/13/21	1840	1380
FWW	2/20/21	1840	1380
FWW	4/9/21	1680	1260
FWW	4/16/21	1680	1260
FWW	12/21/21	2040	1530
FWW	12/28/20	2040	1530
AYL	3/5/21	11360	8520
AYL	11/5/20	11360	8520
AYL	11/26/20	11360	8520
AYL	12/3/20	11360	8520
AYL	12/11/20	11360	8520
AYL	12/21/20	14240	10680
VVI	4/10/21	1510	1135
VVI	7/24/20	1510	1135
VVI	7/31/20	1510	1135
VVI	8/7/20	1510	1135
VVI	8/14/20	1510	1135
VVI	12/18/20	1680	1260
MTA	5/28/21	799	599
MTA	7/2/20	635	479
MTA	7/9/20	635	479
MTA	7/16/20	799	599
MTA	8/30/20	799	599
MTA	9/6/20	635	479
CFA	5/29/20	1208	909
CFA	7/31/20	1256	945
CFA	8/7/20	1256	945
CFA	8/14/20	1256	945
CFA	8/21/20	1256	945
CFA	10/23/20	1208	909
OFC	8/12/20	1085	815
OFC	11/4/20	1085	815
OFC	11/11/20	1085	815
OFC	11/25/20	1085	815
OFC	12/21/20	1167	875
OFC	12/29/20	1167	875
SSL	1/23/21	3198	0
SSL	3/5/21	3198	0
SSL	4/9/21	3198	0
SSL	7/30/20	3198	0
SSL	10/15/20	3198	0
SSL	12/18/20	3519	0
WUC	5/22/21	3464	0
WUC	6/12/21	3326	0
WUC	7/17/20	3326	0
WUC	8/21/20	3464	0
WUC	9/4/20	3326	0
WUC	10/2/20	3326	0
